"Milk supply and dairy production by dairy factories"
"Subjects";"Milk supply";"Dairy production";"Dairy production";"Dairy production"
"Subjects";"Volume";"Butter";"Cheese";"Milk powder"
"Subjects";"Volume";"Butter";"Cheese";"Total Milk powder"
"Periods";"1 000 kg";"1 000 kg";"1 000 kg";"1 000 kg"
"2006";"1065660";"125100";"714000";"154500"
"2007";"1073714";"129200";"730333";"152707"
"2008";"1129457";"124312";"721699";"182173"
"2009";"1146858";"117180";"712094";"204142"
"2010";"1162612";"133419";"752638";"199087"
"2011";"1164171";"128988";"749679";"193176"
"2012";"1167544";"133286";"764161";"186968"
"2013";"1221269";"133455";"793516";"193653"
"2014";"1247302";"140524";"771941";"204761"
"&copy RVO 1-2-2018"
